user,item,rating,demographic
1306,399,4,0
470,203,4,0
777,258,4,0
854,49,4,0
391,172,4,0
1302,491,3,0
1137,403,4,0
441,401,5,0
281,109,5,0
347,577,5,0
827,476,5,0
927,341,4,0
278,454,5,0
202,119,4,0
365,370,3,0
109,237,5,0
826,13,5,0
487,5,4,0
189,435,3,0
523,248,4,0
926,421,5,0
596,266,2,0
419,318,4,0
187,14,5,0
1161,43,3,0
1005,327,4,0
670,451,5,0
455,341,4,0
508,372,3,0
1086,66,5,0
686,431,3,0
973,351,4,0
352,495,5,0
1094,303,3,0
494,233,5,0
799,468,5,0
727,327,5,0
622,508,4,0
369,598,5,0
984,379,4,0
412,353,5,0
626,411,4,0
937,64,4,0
1267,470,5,0
101,364,4,0
625,254,3,0
590,337,4,0
1165,29,4,0
79,436,4,0
69,206,2,0
1290,520,5,0
488,558,5,0
1200,170,1,0
266,61,5,0
700,102,5,0
1043,360,5,0
1329,548,3,0
210,289,3,0
839,85,5,0
337,595,5,0
743,110,4,0
1301,61,5,0
857,8,3,0
70,319,4,0
321,131,4,0
280,233,4,0
1195,6,4,0
45,255,4,0
1270,489,5,0
11,496,4,0
182,73,5,0
1029,572,3,0
585,183,5,0
1246,431,3,0
527,598,4,0
860,502,4,0
307,270,5,0
1126,289,3,0
1010,590,4,0
17,459,3,0
369,318,5,0
1003,524,5,0
517,314,4,0
895,549,5,0
1390,591,4,0
1363,350,4,0
1272,579,3,0
814,507,3,0
1337,113,3,0
1331,8,3,0
740,394,3,0
675,243,5,0
252,45,4,0
673,272,5,0
26,402,4,0
578,215,4,0
124,320,4,0
856,223,3,0
330,590,3,0
921,571,4,0
353,83,3,0
1011,564,4,0
404,180,5,0
602,350,4,0
504,546,4,0
975,224,5,0
159,75,5,0
360,323,5,0
554,108,4,0
911,516,3,0
539,69,3,0
41,38,5,0
1169,511,5,0
279,502,3,0
278,208,5,0
1104,52,3,0
1282,30,4,0
1254,195,5,0
669,486,5,0
781,312,4,0
486,121,5,0
1172,325,5,0
984,293,5,0
289,495,5,0
438,549,5,0
1267,379,4,0
1041,203,3,0
630,583,3,0
660,352,4,0
1225,485,3,0
534,348,3,0
577,577,5,0
70,107,4,0
421,85,5,0
765,83,3,0
844,458,3,0
786,373,4,0
82,218,3,0
1374,223,3,0
619,214,3,0
134,412,4,0
434,299,4,0
519,507,3,0
458,69,3,0
866,112,5,0
1279,369,5,0
594,11,4,0
727,577,5,0
1021,454,5,0
326,221,4,0
1357,33,4,0
736,268,4,0
177,402,4,0
1090,288,5,0
1216,77,5,0
1304,274,3,0
343,357,5,0
555,578,4,0
567,168,5,0
1190,95,5,0
28,216,5,0
195,430,5,0
880,473,5,0
638,592,5,0
1205,570,3,0
1106,249,5,0
788,193,5,0
406,26,5,0
1388,34,3,0
5,204,3,0
1107,352,4,0
251,291,4,0
834,579,4,0
1095,435,5,0
400,383,4,0
834,251,3,0
1357,14,5,0
334,113,3,0
1373,425,5,0
1186,263,5,0
323,543,4,0
1320,214,4,0
735,421,5,0
706,437,4,0
1261,161,4,0
1129,307,4,0
267,485,5,0
5,176,2,0
321,436,4,0
478,339,4,0
970,130,2,0
945,532,5,0
1182,260,4,0
1180,51,5,0
941,432,4,0
1073,370,3,0
32,66,4,0
57,119,4,0
1214,120,5,0
881,506,5,0
332,391,4,0
1313,445,5,0
576,310,3,0
1061,515,5,0
312,56,3,0
125,544,4,0
620,532,4,0
805,100,2,0
990,57,4,0
912,229,5,0
1332,141,4,0
1296,421,5,0
112,238,2,0
1132,328,4,0
521,117,3,0
884,184,4,0
1212,334,5,0
1307,553,3,0
1396,213,3,0
1132,472,3,0
265,280,5,0
869,223,3,0
1076,497,5,0
1075,480,4,0
491,44,3,0
1094,259,3,0
546,429,4,0
1343,394,4,0
1001,7,4,0
734,28,3,0
537,531,3,0
261,424,4,0
617,123,4,0
54,17,4,0
1361,419,4,0
979,244,5,0
330,431,3,0
762,289,3,0
318,268,5,0
151,415,4,0
924,438,5,0
379,451,4,0
750,236,3,0
195,161,4,0
1079,268,5,0
957,306,4,0
1043,159,5,0
