user,item,rating,demographic
927,116,5,0
189,33,4,0
858,324,5,0
1104,612,4,0
745,147,5,0
40,729,4,0
269,239,2,0
947,440,5,0
808,18,5,0
205,514,3,0
645,497,3,0
493,536,5,0
58,649,5,0
343,469,4,0
511,34,4,0
876,663,4,0
48,677,4,0
631,148,5,0
537,535,4,0
1151,752,3,0
685,369,5,0
650,45,5,0
1069,592,5,0
95,562,4,0
891,522,5,0
84,7,3,0
188,607,4,0
535,50,5,0
673,458,4,0
283,467,3,0
753,749,2,0
151,247,4,0
397,408,3,0
918,55,4,0
913,182,4,0
921,333,4,0
997,233,5,0
71,224,5,0
883,690,3,0
648,698,4,0
324,532,4,0
850,208,4,0
188,367,4,0
35,425,2,0
282,495,4,0
596,404,2,0
137,497,4,0
245,319,4,0
13,4,5,0
130,145,5,0
40,597,3,0
629,73,5,0
939,664,4,0
470,307,5,0
854,60,5,0
687,499,4,0
236,69,5,0
109,531,5,0
63,706,3,0
298,187,4,0
14,405,5,0
700,300,5,0
131,161,5,0
738,98,5,0
84,738,3,0
474,796,4,0
140,792,4,0
198,668,5,0
1009,708,4,0
506,76,1,0
895,546,4,0
1114,375,5,0
379,732,5,0
0,541,5,0
676,519,4,0
992,236,4,0
1022,589,5,0
1046,636,4,0
913,616,4,0
1189,410,4,0
42,428,5,0
497,412,5,0
457,261,4,0
440,651,4,0
729,772,3,0
643,31,2,0
500,733,4,0
690,771,4,0
1155,759,3,0
128,432,5,0
1143,81,4,0
347,696,5,0
855,677,4,0
775,240,4,0
1134,172,4,0
63,130,2,0
592,473,5,0
230,369,5,0
544,678,3,0
980,405,4,0
454,182,4,0
608,341,4,0
850,52,3,0
360,618,5,0
253,37,5,0
639,311,5,0
967,480,3,0
190,291,5,0
816,65,5,0
233,411,4,0
433,33,5,0
738,531,5,0
523,335,4,0
712,374,4,0
497,746,5,0
439,794,3,0
283,766,3,0
338,49,3,0
160,495,4,0
924,552,4,0
599,599,5,0
0,695,5,0
1000,424,5,0
548,65,1,0
1009,332,4,0
49,12,4,0
505,690,3,0
583,187,4,0
834,585,5,0
566,395,4,0
61,343,4,0
1086,57,4,0
3,47,4,0
498,505,5,0
962,581,3,0
1166,216,3,0
927,412,5,0
854,194,5,0
189,594,4,0
439,747,3,0
284,785,4,0
346,166,3,0
119,61,5,0
729,329,3,0
758,540,3,0
550,319,4,0
139,339,5,0
523,643,4,0
932,322,4,0
318,127,4,0
1173,337,5,0
216,316,4,0
673,178,4,0
86,412,5,0
861,93,2,0
944,171,2,0
631,191,5,0
1052,494,2,0
285,585,5,0
87,611,4,0
495,212,4,0
954,480,3,0
57,401,4,0
471,330,3,0
118,462,5,0
940,75,5,0
345,443,5,0
253,704,5,0
1157,170,4,0
1107,201,4,0
986,739,3,0
691,140,5,0
133,261,4,0
47,701,4,0
1055,386,5,0
72,418,4,0
206,363,4,0
139,46,5,0
567,620,5,0
462,108,5,0
732,129,4,0
486,309,4,0
978,769,2,0
34,35,4,0
970,178,5,0
301,362,5,0
619,332,4,0
842,43,4,0
261,179,4,0
19,415,3,0
83,123,3,0
905,34,4,0
1002,320,2,0
727,278,3,0
104,576,4,0
55,599,5,0
9,401,4,0
46,434,5,0
33,372,5,0
1009,563,4,0
41,590,3,0
946,228,4,0
464,481,3,0
1065,456,5,0
434,532,5,0
798,324,5,0
538,532,4,0
705,402,4,0
180,191,5,0
286,374,4,0
672,17,4,0
864,431,4,0
1140,599,5,0
1007,346,3,0
952,185,3,0
1098,747,4,0
969,409,5,0
727,597,4,0
530,785,4,0
613,224,5,0
197,534,4,0
300,34,4,0
350,145,5,0
444,15,4,0
136,328,4,0
193,741,4,0
829,746,5,0
1092,7,4,0
242,605,4,0
737,118,5,0
566,626,4,0
201,531,5,0
327,368,3,0
1103,85,5,0
1152,250,5,0
1145,398,5,0
881,114,4,0
190,315,5,0
995,309,4,0
1176,299,3,0
892,647,4,0
116,227,5,0
417,580,4,0
625,534,5,0
900,707,4,0
789,639,3,0
1061,341,4,0
987,503,5,0
1132,140,3,0
678,202,3,0
1020,296,4,0
627,566,4,0
1026,474,5,0
224,205,4,0
559,332,4,0
320,48,4,0
95,703,4,0
550,145,4,0
408,671,3,0
867,240,4,0
614,295,4,0
539,87,5,0
257,166,2,0
1013,493,4,0
4,391,3,0
714,278,3,0
357,525,3,0
347,315,5,0
1072,433,3,0
278,136,3,0
630,456,5,0
1004,37,4,0
854,387,5,0
307,552,3,0
829,387,5,0
907,722,4,0
951,758,5,0
1012,512,5,0
386,237,5,0
182,114,3,0
381,191,4,0
922,193,4,0
549,717,4,0
632,11,5,0
342,246,5,0
279,742,4,0
1180,68,5,0
143,784,3,0
312,793,4,0
320,389,4,0
26,470,5,0
284,69,4,0
1082,416,4,0
808,271,5,0
627,392,5,0
950,89,4,0
256,468,3,0
45,347,5,0
1086,792,4,0
269,6,2,0
868,161,5,0
936,209,4,0
493,288,5,0
607,320,5,0
110,385,4,0
186,19,3,0
1128,42,5,0
603,793,4,0
564,414,4,0
836,517,4,0
471,439,3,0
928,124,5,0
1042,86,5,0
980,230,4,0
592,191,5,0
505,597,3,0
899,484,5,0
292,406,4,0
646,104,3,0
252,242,4,0
1091,246,5,0
452,563,4,0
482,573,5,0
855,299,3,0
304,408,5,0
829,515,5,0
474,589,5,0
751,616,4,0
352,269,3,0
190,327,5,0
23,785,4,0
1039,498,3,0
313,601,4,0
190,740,4,0
1015,692,5,0
382,726,4,0
