user,item,rating
475.0,3516.0,1.0
446.0,372.0,5.0
725.0,2331.0,4.0
979.0,2534.0,5.0
696.0,2716.0,5.0
970.0,3634.0,1.0
735.0,941.0,4.0
920.0,3709.0,4.0
138.0,728.0,3.0
780.0,433.0,4.0
244.0,1628.0,4.0
197.0,2814.0,3.0
853.0,1482.0,5.0
638.0,3797.0,3.0
233.0,3594.0,4.0
261.0,2624.0,4.0
612.0,287.0,4.0
551.0,603.0,3.0
330.0,2651.0,5.0
783.0,3771.0,2.0
895.0,404.0,5.0
105.0,2181.0,4.0
661.0,591.0,4.0
916.0,3791.0,1.0
867.0,1032.0,2.0
669.0,2850.0,3.0
606.0,3651.0,4.0
938.0,2983.0,3.0
533.0,2478.0,5.0
977.0,407.0,2.0
586.0,1361.0,5.0
306.0,1717.0,5.0
257.0,3161.0,4.0
81.0,2694.0,3.0
141.0,2456.0,3.0
666.0,714.0,4.0
590.0,291.0,1.0
781.0,3315.0,2.0
110.0,3735.0,5.0
364.0,464.0,3.0
280.0,1295.0,4.0
955.0,1917.0,5.0
727.0,1723.0,4.0
19.0,898.0,2.0
196.0,3756.0,4.0
248.0,275.0,3.0
567.0,1513.0,5.0
227.0,610.0,4.0
163.0,3940.0,1.0
545.0,27.0,3.0
905.0,1458.0,3.0
359.0,2894.0,3.0
689.0,3471.0,4.0
754.0,432.0,1.0
954.0,3553.0,5.0
30.0,3425.0,1.0
709.0,970.0,4.0
5.0,755.0,4.0
283.0,231.0,3.0
776.0,2704.0,3.0
532.0,3448.0,3.0
733.0,1941.0,5.0
538.0,3456.0,4.0
866.0,2913.0,4.0
720.0,1410.0,4.0
108.0,3847.0,2.0
725.0,2669.0,4.0
824.0,1428.0,4.0
434.0,444.0,1.0
472.0,1275.0,3.0
739.0,1673.0,2.0
245.0,2009.0,1.0
667.0,3759.0,3.0
30.0,908.0,2.0
129.0,1153.0,4.0
377.0,3693.0,4.0
353.0,3246.0,4.0
844.0,1360.0,4.0
445.0,1573.0,1.0
828.0,2057.0,4.0
275.0,571.0,2.0
689.0,1976.0,4.0
947.0,3188.0,4.0
708.0,3403.0,5.0
994.0,3424.0,1.0
568.0,3165.0,4.0
105.0,2302.0,3.0
23.0,318.0,3.0
89.0,3519.0,5.0
739.0,1738.0,3.0
601.0,287.0,3.0
870.0,626.0,5.0
415.0,3529.0,3.0
498.0,3488.0,5.0
920.0,1299.0,5.0
353.0,264.0,4.0
568.0,3667.0,3.0
708.0,1882.0,5.0
656.0,3974.0,5.0
424.0,337.0,4.0
50.0,3685.0,2.0
