user,item,rating
31.0,589.0,4.0
2.0,818.0,5.0
58.0,380.0,2.0
45.0,2431.0,3.0
43.0,3688.0,3.0
0.0,3618.0,4.0
80.0,3602.0,4.0
72.0,1989.0,2.0
99.0,3045.0,2.0
87.0,3339.0,5.0
73.0,1224.0,3.0
22.0,2494.0,4.0
93.0,271.0,3.0
72.0,2243.0,4.0
29.0,572.0,2.0
15.0,743.0,4.0
86.0,3529.0,4.0
19.0,1524.0,3.0
96.0,678.0,3.0
0.0,936.0,4.0
76.0,3074.0,4.0
1.0,3407.0,5.0
62.0,1494.0,5.0
46.0,3771.0,3.0
55.0,3519.0,3.0
18.0,111.0,4.0
23.0,3832.0,2.0
20.0,2040.0,4.0
31.0,2248.0,5.0
11.0,742.0,5.0
89.0,3889.0,2.0
32.0,359.0,2.0
61.0,3553.0,5.0
5.0,1176.0,2.0
35.0,1944.0,4.0
84.0,2227.0,3.0
22.0,2976.0,4.0
64.0,1885.0,4.0
35.0,395.0,4.0
37.0,2224.0,1.0
95.0,998.0,2.0
71.0,1873.0,3.0
73.0,900.0,5.0
39.0,3186.0,3.0
22.0,831.0,5.0
88.0,669.0,3.0
86.0,1617.0,3.0
89.0,1496.0,3.0
26.0,1310.0,3.0
62.0,2913.0,3.0
96.0,2979.0,3.0
34.0,2505.0,5.0
71.0,3299.0,4.0
38.0,3698.0,2.0
12.0,476.0,3.0
41.0,2344.0,4.0
20.0,3625.0,3.0
18.0,2973.0,5.0
75.0,3357.0,1.0
35.0,3433.0,4.0
10.0,3931.0,2.0
40.0,3273.0,4.0
53.0,625.0,3.0
2.0,429.0,4.0
49.0,1596.0,5.0
60.0,3471.0,3.0
16.0,3650.0,3.0
46.0,1559.0,4.0
18.0,3478.0,3.0
7.0,2154.0,3.0
61.0,2623.0,3.0
62.0,2513.0,4.0
40.0,6.0,2.0
90.0,1426.0,4.0
88.0,121.0,3.0
91.0,3490.0,3.0
32.0,2999.0,2.0
36.0,974.0,5.0
84.0,541.0,4.0
72.0,3138.0,4.0
94.0,2967.0,5.0
30.0,160.0,3.0
67.0,1397.0,2.0
12.0,1174.0,4.0
10.0,3832.0,2.0
