user,item,rating
7.0,1198.0,6.0
78.0,3437.0,8.0
73.0,1144.0,5.0
88.0,2112.0,7.0
36.0,2498.0,7.0
48.0,289.0,2.0
27.0,3003.0,6.0
37.0,3908.0,3.0
68.0,1163.0,8.0
50.0,365.0,10.0
12.0,600.0,1.0
10.0,915.0,8.0
49.0,2331.0,9.0
10.0,3997.0,6.0
5.0,3653.0,10.0
70.0,1173.0,10.0
41.0,3664.0,9.0
20.0,3918.0,4.0
32.0,1112.0,10.0
50.0,3190.0,10.0
73.0,2799.0,6.0
20.0,3137.0,2.0
90.0,385.0,10.0
26.0,961.0,2.0
86.0,1375.0,1.0
41.0,784.0,8.0
25.0,2648.0,10.0
85.0,1116.0,10.0
48.0,38.0,2.0
16.0,1365.0,5.0
20.0,1587.0,1.0
27.0,757.0,6.0
94.0,452.0,10.0
85.0,812.0,10.0
5.0,3582.0,10.0
14.0,520.0,7.0
76.0,2492.0,8.0
16.0,2761.0,7.0
20.0,1735.0,3.0
96.0,1568.0,2.0
80.0,1944.0,4.0
20.0,2.0,3.0
28.0,2111.0,10.0
6.0,702.0,8.0
58.0,341.0,7.0
40.0,718.0,9.0
20.0,80.0,3.0
77.0,2755.0,8.0
84.0,1095.0,10.0
47.0,1616.0,10.0
1.0,1534.0,10.0
10.0,566.0,6.0
12.0,881.0,4.0
83.0,895.0,4.0
99.0,3526.0,10.0
82.0,3680.0,10.0
50.0,308.0,8.0
78.0,3437.0,7.0
17.0,590.0,10.0
80.0,1423.0,4.0
62.0,3959.0,7.0
29.0,3027.0,6.0
14.0,3974.0,8.0
89.0,3725.0,2.0
15.0,3637.0,7.0
50.0,3028.0,10.0
95.0,3457.0,9.0
60.0,2046.0,5.0
28.0,433.0,10.0
44.0,3026.0,5.0
87.0,3669.0,8.0
44.0,2771.0,9.0
76.0,3516.0,10.0
90.0,3982.0,6.0
92.0,3423.0,7.0
17.0,3355.0,7.0
28.0,2152.0,10.0
10.0,3219.0,7.0
80.0,510.0,5.0
33.0,1828.0,10.0
18.0,1802.0,10.0
50.0,889.0,10.0
60.0,1916.0,7.0
35.0,1567.0,10.0
28.0,2815.0,10.0
32.0,3369.0,10.0
73.0,3227.0,4.0
79.0,1455.0,10.0
85.0,2677.0,10.0
78.0,1669.0,8.0
82.0,2715.0,10.0
