user,item,rating
0.0,2372.0,2.0
53.0,2659.0,10.0
66.0,1130.0,3.0
96.0,1800.0,10.0
12.0,2609.0,1.0
39.0,3394.0,1.0
7.0,1752.0,10.0
28.0,426.0,4.0
23.0,2235.0,10.0
18.0,2721.0,9.0
85.0,2717.0,1.0
6.0,1910.0,10.0
84.0,2668.0,4.0
81.0,2642.0,1.0
6.0,695.0,10.0
14.0,1771.0,10.0
12.0,56.0,4.0
95.0,3078.0,10.0
85.0,386.0,1.0
48.0,2642.0,1.0
37.0,3744.0,10.0
20.0,1698.0,7.0
56.0,580.0,10.0
51.0,343.0,10.0
18.0,36.0,10.0
59.0,420.0,10.0
87.0,3526.0,9.0
79.0,1538.0,10.0
39.0,2518.0,1.0
27.0,2533.0,4.0
98.0,292.0,9.0
49.0,1123.0,2.0
21.0,2790.0,10.0
43.0,1996.0,10.0
96.0,33.0,10.0
0.0,2125.0,1.0
74.0,463.0,9.0
91.0,248.0,5.0
36.0,2630.0,10.0
41.0,1548.0,6.0
51.0,1923.0,10.0
20.0,2433.0,3.0
37.0,2501.0,10.0
55.0,1186.0,8.0
62.0,520.0,1.0
60.0,165.0,8.0
97.0,3423.0,10.0
12.0,1881.0,1.0
30.0,169.0,10.0
73.0,2003.0,4.0
71.0,2698.0,2.0
19.0,248.0,10.0
50.0,1191.0,1.0
79.0,3730.0,10.0
86.0,2837.0,10.0
32.0,2238.0,10.0
45.0,2068.0,6.0
43.0,1909.0,9.0
78.0,1091.0,1.0
29.0,3488.0,10.0
3.0,1334.0,1.0
5.0,130.0,10.0
21.0,1978.0,10.0
96.0,1681.0,10.0
30.0,3638.0,10.0
10.0,1124.0,7.0
49.0,421.0,5.0
89.0,3015.0,10.0
6.0,283.0,10.0
96.0,3200.0,10.0
95.0,3412.0,10.0
43.0,359.0,10.0
53.0,1160.0,10.0
0.0,3173.0,1.0
95.0,2860.0,10.0
14.0,3168.0,10.0
45.0,2698.0,9.0
55.0,547.0,10.0
5.0,3718.0,10.0
99.0,1817.0,10.0
51.0,3886.0,10.0
58.0,2100.0,10.0
70.0,2599.0,4.0
84.0,963.0,1.0
69.0,2250.0,8.0
25.0,3750.0,5.0
45.0,2653.0,6.0
55.0,3119.0,9.0
5.0,2162.0,10.0
3.0,2007.0,1.0
29.0,2715.0,10.0
24.0,3972.0,10.0
11.0,2776.0,10.0
26.0,2139.0,8.0
52.0,3957.0,4.0
25.0,3947.0,10.0
95.0,2964.0,10.0
77.0,1080.0,10.0
62.0,916.0,1.0
76.0,1437.0,10.0
50.0,2717.0,1.0
55.0,2971.0,8.0
41.0,2910.0,6.0
85.0,1191.0,1.0
11.0,550.0,10.0
69.0,773.0,6.0
69.0,400.0,5.0
42.0,237.0,7.0
80.0,1465.0,2.0
69.0,1720.0,8.0
81.0,1073.0,1.0
3.0,3515.0,1.0
67.0,2809.0,10.0
13.0,1802.0,10.0
19.0,55.0,7.0
12.0,457.0,1.0
63.0,1652.0,1.0
38.0,3311.0,7.0
25.0,1098.0,6.0
32.0,2375.0,10.0
6.0,342.0,10.0
22.0,3158.0,10.0
64.0,2034.0,6.0
71.0,3900.0,1.0
25.0,2502.0,1.0
20.0,2424.0,4.0
40.0,3363.0,5.0
54.0,1301.0,10.0
88.0,502.0,9.0
17.0,795.0,10.0
75.0,716.0,4.0
32.0,2680.0,10.0
94.0,276.0,10.0
86.0,3893.0,10.0
90.0,829.0,4.0
92.0,1309.0,10.0
69.0,55.0,5.0
63.0,849.0,3.0
49.0,2488.0,4.0
28.0,1916.0,1.0
53.0,3675.0,10.0
40.0,3359.0,6.0
94.0,3513.0,10.0
42.0,994.0,10.0
18.0,370.0,9.0
1.0,318.0,10.0
56.0,1467.0,8.0
95.0,2348.0,10.0
40.0,1312.0,7.0
38.0,2146.0,9.0
18.0,1522.0,8.0
21.0,222.0,10.0
58.0,2461.0,8.0
49.0,295.0,1.0
22.0,2020.0,8.0
35.0,3904.0,1.0
3.0,2542.0,1.0
95.0,3729.0,10.0
19.0,423.0,10.0
41.0,3453.0,7.0
72.0,2419.0,1.0
15.0,38.0,10.0
36.0,2837.0,10.0
11.0,101.0,10.0
1.0,3382.0,10.0
85.0,3515.0,1.0
6.0,2256.0,10.0
69.0,2814.0,6.0
17.0,3949.0,10.0
49.0,1980.0,6.0
90.0,3656.0,1.0
17.0,964.0,10.0
52.0,857.0,1.0
38.0,157.0,7.0
47.0,923.0,10.0
10.0,364.0,7.0
1.0,3997.0,10.0
29.0,412.0,10.0
36.0,884.0,10.0
54.0,122.0,10.0
80.0,504.0,4.0
90.0,650.0,3.0
15.0,388.0,10.0
34.0,1875.0,10.0
68.0,2163.0,10.0
35.0,1955.0,4.0
42.0,2471.0,8.0
56.0,2541.0,9.0
23.0,2508.0,10.0
19.0,1609.0,8.0
87.0,556.0,10.0
62.0,916.0,2.0
62.0,2763.0,4.0
8.0,95.0,1.0
62.0,693.0,6.0
10.0,3711.0,3.0
32.0,1734.0,10.0
89.0,3063.0,10.0
11.0,1519.0,10.0
62.0,2334.0,1.0
89.0,194.0,10.0
41.0,154.0,3.0
96.0,690.0,10.0
52.0,3557.0,1.0
98.0,3292.0,10.0
84.0,1657.0,1.0
60.0,306.0,9.0
53.0,3582.0,10.0
26.0,912.0,5.0
30.0,709.0,10.0
84.0,1751.0,1.0
61.0,1979.0,2.0
99.0,2312.0,10.0
59.0,3280.0,10.0
69.0,3214.0,10.0
3.0,3317.0,1.0
2.0,3403.0,10.0
53.0,782.0,10.0
32.0,3871.0,10.0
15.0,3803.0,10.0
12.0,422.0,1.0
62.0,31.0,1.0
12.0,3982.0,1.0
28.0,1741.0,1.0
50.0,2648.0,1.0
12.0,3824.0,1.0
0.0,2057.0,5.0
80.0,2376.0,8.0
58.0,1324.0,8.0
56.0,3764.0,10.0
96.0,2237.0,10.0
15.0,1875.0,10.0
36.0,1584.0,10.0
47.0,414.0,10.0
44.0,2733.0,8.0
84.0,3518.0,1.0
41.0,3453.0,9.0
8.0,1151.0,1.0
89.0,1223.0,10.0
94.0,1368.0,10.0
51.0,3838.0,10.0
22.0,77.0,10.0
30.0,2605.0,10.0
89.0,1302.0,10.0
14.0,3589.0,10.0
52.0,467.0,6.0
92.0,821.0,10.0
41.0,2022.0,2.0
89.0,3065.0,10.0
25.0,3977.0,8.0
69.0,639.0,6.0
22.0,976.0,10.0
31.0,860.0,4.0
98.0,2965.0,10.0
23.0,325.0,10.0
95.0,3074.0,10.0
64.0,3300.0,1.0
52.0,113.0,1.0
72.0,1390.0,1.0
95.0,1641.0,10.0
16.0,3071.0,3.0
26.0,415.0,7.0
68.0,180.0,10.0
14.0,698.0,10.0
91.0,1308.0,1.0
52.0,2655.0,2.0
88.0,2389.0,7.0
28.0,287.0,1.0
0.0,2066.0,1.0
58.0,966.0,9.0
85.0,59.0,1.0
41.0,3689.0,9.0
98.0,721.0,10.0
13.0,810.0,10.0
42.0,2560.0,10.0
41.0,1392.0,4.0
50.0,632.0,1.0
44.0,3511.0,1.0
12.0,2518.0,1.0
47.0,607.0,10.0
75.0,3780.0,8.0
12.0,946.0,8.0
84.0,1950.0,1.0
26.0,888.0,10.0
91.0,2987.0,1.0
54.0,3509.0,9.0
32.0,168.0,10.0
72.0,1560.0,2.0
69.0,1952.0,10.0
22.0,976.0,9.0
6.0,332.0,10.0
34.0,1379.0,10.0
0.0,2244.0,4.0
39.0,3264.0,1.0
92.0,1943.0,10.0
54.0,1169.0,9.0
2.0,1931.0,8.0
50.0,651.0,1.0
96.0,3312.0,10.0
29.0,3123.0,10.0
29.0,532.0,10.0
21.0,3918.0,10.0
14.0,2327.0,10.0
17.0,812.0,10.0
50.0,2290.0,1.0
44.0,205.0,3.0
14.0,468.0,10.0
61.0,3120.0,4.0
59.0,283.0,10.0
28.0,2196.0,1.0
75.0,2343.0,9.0
75.0,228.0,9.0
62.0,1999.0,2.0
9.0,3569.0,1.0
80.0,3068.0,10.0
52.0,551.0,6.0
39.0,358.0,1.0
87.0,691.0,10.0
91.0,3012.0,3.0
51.0,1290.0,10.0
84.0,3613.0,2.0
78.0,589.0,1.0
59.0,881.0,10.0
55.0,3958.0,6.0
41.0,693.0,9.0
98.0,3393.0,8.0
29.0,192.0,10.0
42.0,2678.0,10.0
58.0,415.0,8.0
25.0,639.0,7.0
3.0,2173.0,2.0
95.0,1231.0,10.0
29.0,2905.0,10.0
34.0,3271.0,10.0
18.0,404.0,10.0
90.0,287.0,1.0
14.0,3350.0,10.0
16.0,3780.0,1.0
42.0,3455.0,10.0
2.0,1274.0,7.0
92.0,779.0,10.0
0.0,2646.0,1.0
19.0,3859.0,3.0
98.0,639.0,7.0
19.0,2061.0,6.0
36.0,2397.0,10.0
47.0,1439.0,10.0
68.0,1563.0,10.0
32.0,2673.0,10.0
47.0,1321.0,10.0
3.0,3679.0,1.0
62.0,3576.0,3.0
18.0,2494.0,7.0
1.0,3683.0,10.0
65.0,2301.0,9.0
54.0,1184.0,8.0
40.0,3842.0,6.0
92.0,1850.0,10.0
61.0,2341.0,2.0
30.0,678.0,10.0
77.0,3062.0,10.0
12.0,1191.0,1.0
5.0,769.0,10.0
47.0,382.0,10.0
37.0,3468.0,10.0
81.0,1919.0,1.0
74.0,364.0,8.0
29.0,3078.0,10.0
56.0,3875.0,10.0
88.0,1320.0,5.0
35.0,2688.0,6.0
98.0,2165.0,10.0
3.0,908.0,1.0
44.0,114.0,1.0
54.0,1667.0,9.0
