user,item,rating
1674.0,1053.0,4.0
1769.0,2766.0,1.0
886.0,579.0,3.0
1199.0,258.0,2.0
243.0,1761.0,4.0
766.0,1869.0,2.0
809.0,482.0,4.0
245.0,2170.0,2.0
154.0,2275.0,3.0
844.0,2677.0,3.0
1425.0,3692.0,3.0
740.0,1040.0,3.0
1948.0,2531.0,2.0
1703.0,1072.0,4.0
1948.0,145.0,2.0
1024.0,2540.0,5.0
119.0,3090.0,4.0
1190.0,1799.0,5.0
1028.0,1287.0,3.0
1604.0,1977.0,4.0
994.0,2179.0,4.0
811.0,1918.0,3.0
674.0,23.0,5.0
1482.0,2704.0,5.0
1577.0,2386.0,4.0
615.0,938.0,2.0
671.0,2883.0,3.0
214.0,1349.0,3.0
252.0,22.0,5.0
179.0,439.0,4.0
1813.0,2181.0,1.0
44.0,271.0,3.0
1948.0,2857.0,2.0
959.0,539.0,2.0
246.0,820.0,2.0
601.0,2152.0,2.0
1484.0,3143.0,4.0
52.0,1056.0,2.0
1403.0,2715.0,1.0
687.0,3971.0,5.0
1829.0,1596.0,3.0
997.0,3520.0,2.0
189.0,3473.0,5.0
1886.0,919.0,3.0
1442.0,2990.0,5.0
21.0,425.0,2.0
399.0,1389.0,5.0
1144.0,1402.0,5.0
453.0,1364.0,5.0
610.0,1033.0,3.0
619.0,3139.0,2.0
173.0,1560.0,4.0
543.0,1627.0,4.0
824.0,394.0,2.0
1462.0,1090.0,4.0
496.0,363.0,4.0
1676.0,1039.0,3.0
1632.0,2560.0,3.0
459.0,3804.0,1.0
1005.0,3992.0,3.0
24.0,2121.0,3.0
142.0,1414.0,5.0
1189.0,16.0,5.0
458.0,680.0,4.0
1156.0,3561.0,3.0
104.0,2254.0,3.0
527.0,443.0,4.0
291.0,1308.0,4.0
481.0,1667.0,5.0
1456.0,3019.0,5.0
1172.0,1526.0,4.0
316.0,661.0,2.0
1890.0,2656.0,3.0
1502.0,44.0,5.0
1622.0,2025.0,2.0
659.0,3118.0,4.0
18.0,768.0,2.0
519.0,2000.0,3.0
609.0,1137.0,2.0
788.0,2949.0,4.0
1160.0,1193.0,1.0
1648.0,2292.0,5.0
926.0,1168.0,2.0
554.0,1594.0,2.0
298.0,978.0,5.0
990.0,1193.0,1.0
529.0,3053.0,4.0
941.0,1052.0,5.0
655.0,2602.0,3.0
606.0,1823.0,5.0
262.0,2458.0,1.0
1670.0,2840.0,1.0
1794.0,856.0,3.0
1984.0,1906.0,5.0
1037.0,816.0,4.0
530.0,1083.0,4.0
333.0,1528.0,5.0
863.0,493.0,3.0
633.0,3346.0,1.0
969.0,3944.0,2.0
1140.0,412.0,1.0
181.0,460.0,3.0
493.0,2037.0,3.0
569.0,3972.0,2.0
1203.0,36.0,4.0
7.0,3631.0,3.0
483.0,3168.0,2.0
647.0,3869.0,2.0
1570.0,2097.0,5.0
713.0,2887.0,2.0
1648.0,391.0,5.0
210.0,3505.0,2.0
271.0,1820.0,5.0
221.0,181.0,3.0
1172.0,3004.0,5.0
1423.0,2707.0,2.0
316.0,3206.0,1.0
801.0,3067.0,2.0
50.0,800.0,2.0
756.0,1737.0,4.0
1338.0,2125.0,4.0
138.0,1273.0,5.0
409.0,512.0,4.0
1923.0,1982.0,5.0
1311.0,854.0,5.0
1559.0,1486.0,2.0
1587.0,1062.0,5.0
1186.0,3839.0,4.0
1759.0,1355.0,2.0
571.0,2724.0,3.0
1960.0,3370.0,3.0
353.0,2841.0,5.0
1481.0,1881.0,5.0
995.0,2029.0,2.0
1547.0,2800.0,4.0
80.0,568.0,5.0
1615.0,3451.0,2.0
436.0,3478.0,2.0
1232.0,199.0,3.0
280.0,3395.0,2.0
783.0,3307.0,2.0
57.0,128.0,3.0
238.0,957.0,4.0
655.0,3166.0,3.0
296.0,1738.0,1.0
804.0,3831.0,5.0
173.0,3462.0,3.0
516.0,2360.0,4.0
1789.0,798.0,5.0
272.0,2138.0,1.0
1744.0,2412.0,5.0
863.0,3973.0,2.0
442.0,432.0,5.0
507.0,63.0,1.0
1586.0,1692.0,2.0
1635.0,1196.0,5.0
1315.0,3014.0,3.0
1014.0,2168.0,5.0
941.0,357.0,5.0
205.0,53.0,5.0
1956.0,537.0,2.0
395.0,372.0,5.0
430.0,2062.0,5.0
1622.0,2020.0,3.0
34.0,3602.0,5.0
1892.0,3600.0,3.0
1425.0,3152.0,3.0
1954.0,2009.0,3.0
170.0,3090.0,5.0
1623.0,1565.0,5.0
317.0,2194.0,2.0
1925.0,1019.0,4.0
42.0,362.0,5.0
101.0,2499.0,3.0
1246.0,2636.0,4.0
1411.0,1402.0,5.0
809.0,738.0,3.0
642.0,40.0,4.0
776.0,92.0,5.0
1826.0,2609.0,4.0
443.0,3989.0,2.0
1817.0,3954.0,3.0
257.0,935.0,2.0
668.0,2203.0,2.0
301.0,1489.0,5.0
281.0,1772.0,1.0
1420.0,916.0,2.0
528.0,3951.0,4.0
1661.0,3715.0,3.0
1293.0,2957.0,1.0
408.0,291.0,4.0
826.0,3037.0,4.0
289.0,657.0,3.0
534.0,2199.0,4.0
1781.0,2365.0,5.0
1686.0,3828.0,1.0
754.0,2149.0,2.0
389.0,748.0,2.0
415.0,334.0,3.0
1413.0,353.0,2.0
721.0,961.0,1.0
174.0,914.0,5.0
988.0,242.0,2.0
1152.0,1076.0,4.0
1573.0,3290.0,3.0
1061.0,3563.0,3.0
822.0,1635.0,2.0
1848.0,207.0,2.0
1041.0,3989.0,2.0
1596.0,2985.0,2.0
696.0,2375.0,4.0
858.0,257.0,3.0
1085.0,2723.0,2.0
615.0,2400.0,2.0
549.0,2216.0,2.0
844.0,208.0,2.0
613.0,14.0,3.0
869.0,3585.0,1.0
532.0,3526.0,4.0
1609.0,1024.0,2.0
1581.0,2336.0,4.0
524.0,432.0,5.0
870.0,3267.0,2.0
1007.0,345.0,5.0
878.0,258.0,5.0
122.0,2591.0,5.0
1817.0,3071.0,2.0
342.0,3465.0,2.0
566.0,3154.0,5.0
756.0,3404.0,5.0
1122.0,84.0,4.0
828.0,2453.0,4.0
1703.0,1862.0,2.0
623.0,806.0,2.0
1363.0,3570.0,4.0
1854.0,1146.0,4.0
477.0,2258.0,1.0
654.0,203.0,5.0
1504.0,1239.0,5.0
316.0,1153.0,2.0
582.0,1497.0,2.0
268.0,2764.0,3.0
371.0,2874.0,5.0
1243.0,3531.0,2.0
1509.0,3920.0,3.0
1023.0,156.0,2.0
211.0,2804.0,5.0
1467.0,1034.0,4.0
1343.0,1013.0,3.0
1621.0,3480.0,5.0
1014.0,2131.0,5.0
760.0,1930.0,2.0
947.0,912.0,3.0
978.0,352.0,5.0
1222.0,1378.0,1.0
1263.0,1835.0,4.0
1006.0,2790.0,2.0
409.0,2966.0,3.0
1127.0,3278.0,5.0
516.0,3104.0,5.0
1078.0,1406.0,5.0
1245.0,2777.0,5.0
1285.0,3038.0,5.0
249.0,519.0,3.0
964.0,3295.0,5.0
1903.0,1800.0,4.0
1554.0,875.0,3.0
1471.0,500.0,4.0
1549.0,3040.0,1.0
1722.0,3751.0,5.0
283.0,166.0,1.0
1090.0,3896.0,1.0
396.0,3442.0,2.0
185.0,1132.0,5.0
139.0,824.0,2.0
595.0,3975.0,2.0
499.0,438.0,3.0
562.0,61.0,3.0
1774.0,2673.0,5.0
320.0,3561.0,4.0
346.0,2227.0,5.0
86.0,3034.0,3.0
129.0,1307.0,5.0
26.0,3296.0,5.0
456.0,556.0,5.0
