user,item,rating
22.0,103.0,1.0
8.0,3451.0,5.0
67.0,756.0,3.0
73.0,3303.0,5.0
7.0,1645.0,1.0
25.0,952.0,5.0
70.0,48.0,1.0
12.0,3267.0,5.0
32.0,2042.0,1.0
13.0,2178.0,5.0
37.0,1261.0,1.0
14.0,3449.0,1.0
71.0,2786.0,1.0
32.0,1689.0,1.0
65.0,3085.0,5.0
35.0,3433.0,5.0
26.0,1652.0,5.0
34.0,3930.0,1.0
22.0,3963.0,5.0
95.0,2075.0,1.0
7.0,3231.0,2.0
73.0,34.0,5.0
26.0,2005.0,5.0
68.0,2556.0,1.0
7.0,275.0,1.0
30.0,187.0,5.0
60.0,3924.0,5.0
1.0,3768.0,5.0
29.0,1824.0,5.0
42.0,143.0,3.0
70.0,1757.0,5.0
65.0,624.0,5.0
7.0,3949.0,1.0
6.0,2189.0,5.0
67.0,2591.0,1.0
68.0,762.0,1.0
10.0,3485.0,1.0
2.0,2743.0,5.0
5.0,978.0,1.0
85.0,3020.0,5.0
2.0,211.0,4.0
72.0,3480.0,3.0
63.0,3773.0,5.0
2.0,707.0,5.0
61.0,3198.0,1.0
60.0,2362.0,5.0
2.0,2204.0,5.0
2.0,2827.0,1.0
68.0,3065.0,2.0
35.0,2123.0,5.0
49.0,3125.0,5.0
57.0,219.0,2.0
77.0,3371.0,1.0
9.0,3430.0,2.0
41.0,1228.0,5.0
2.0,3775.0,4.0
29.0,1715.0,5.0
1.0,3042.0,5.0
15.0,1145.0,5.0
41.0,2327.0,5.0
78.0,2190.0,1.0
22.0,1772.0,5.0
13.0,3535.0,5.0
46.0,3131.0,4.0
47.0,916.0,1.0
18.0,397.0,1.0
3.0,1086.0,5.0
97.0,1472.0,1.0
42.0,3806.0,5.0
33.0,838.0,5.0
27.0,3707.0,5.0
65.0,2053.0,5.0
35.0,3196.0,5.0
94.0,3724.0,1.0
67.0,1634.0,1.0
26.0,3953.0,5.0
32.0,2818.0,2.0
50.0,687.0,5.0
65.0,2126.0,5.0
27.0,1105.0,4.0
34.0,1399.0,5.0
30.0,770.0,5.0
87.0,30.0,4.0
23.0,2818.0,1.0
