user,item,rating
28.0,2749.0,3.0
93.0,359.0,4.0
12.0,665.0,4.0
12.0,2.0,4.0
33.0,2195.0,4.0
91.0,40.0,3.0
85.0,456.0,4.0
26.0,1376.0,5.0
17.0,2822.0,3.0
77.0,2544.0,5.0
93.0,3153.0,4.0
25.0,1954.0,3.0
89.0,76.0,5.0
76.0,2093.0,1.0
31.0,3524.0,1.0
72.0,1728.0,3.0
58.0,825.0,3.0
20.0,1938.0,5.0
61.0,692.0,2.0
20.0,3725.0,4.0
61.0,1369.0,3.0
79.0,2448.0,5.0
10.0,3645.0,4.0
14.0,3925.0,2.0
67.0,3565.0,2.0
10.0,3252.0,1.0
2.0,3958.0,2.0
70.0,1239.0,2.0
57.0,1589.0,3.0
90.0,715.0,2.0
17.0,3109.0,4.0
12.0,3477.0,4.0
39.0,2667.0,3.0
80.0,673.0,2.0
83.0,493.0,3.0
72.0,2940.0,4.0
74.0,34.0,5.0
83.0,3854.0,4.0
79.0,1762.0,2.0
78.0,2944.0,5.0
40.0,755.0,3.0
78.0,1582.0,5.0
67.0,2151.0,4.0
73.0,269.0,5.0
20.0,3979.0,4.0
56.0,93.0,3.0
72.0,2505.0,1.0
91.0,1300.0,3.0
53.0,2013.0,5.0
54.0,2054.0,5.0
70.0,2450.0,5.0
91.0,1028.0,3.0
86.0,23.0,4.0
54.0,3934.0,5.0
14.0,1018.0,3.0
41.0,228.0,5.0
88.0,1383.0,4.0
56.0,2613.0,3.0
74.0,2053.0,3.0
10.0,2297.0,4.0
72.0,2606.0,3.0
90.0,718.0,5.0
8.0,3388.0,5.0
87.0,2601.0,1.0
49.0,3259.0,4.0
47.0,3904.0,2.0
58.0,238.0,5.0
21.0,1658.0,3.0
78.0,1492.0,5.0
22.0,1540.0,5.0
95.0,3821.0,3.0
12.0,152.0,4.0
36.0,790.0,4.0
77.0,3647.0,4.0
32.0,2992.0,4.0
26.0,2809.0,5.0
33.0,371.0,5.0
9.0,2424.0,4.0
49.0,867.0,4.0
20.0,840.0,4.0
21.0,2732.0,3.0
74.0,428.0,5.0
49.0,3334.0,5.0
36.0,602.0,4.0
34.0,2647.0,4.0
97.0,3657.0,5.0
69.0,1703.0,2.0
94.0,3450.0,4.0
17.0,2356.0,2.0
51.0,1828.0,5.0
7.0,2118.0,3.0
62.0,3654.0,5.0
21.0,2273.0,3.0
85.0,1262.0,3.0
23.0,3105.0,3.0
72.0,523.0,3.0
37.0,3346.0,3.0
50.0,3687.0,5.0
80.0,2592.0,2.0
73.0,394.0,4.0
20.0,2772.0,5.0
67.0,1153.0,4.0
26.0,1843.0,5.0
