user,item,rating
873.0,2362.0,3.0
521.0,144.0,4.0
986.0,3752.0,4.0
365.0,1474.0,3.0
208.0,2360.0,3.0
421.0,3795.0,3.0
651.0,334.0,3.0
54.0,3931.0,3.0
765.0,2174.0,3.0
850.0,2071.0,3.0
534.0,3578.0,5.0
602.0,189.0,3.0
372.0,2339.0,3.0
986.0,1240.0,4.0
323.0,2848.0,3.0
867.0,1142.0,5.0
179.0,1954.0,3.0
492.0,1581.0,3.0
414.0,198.0,3.0
691.0,2782.0,4.0
225.0,2991.0,3.0
145.0,2984.0,4.0
11.0,1451.0,5.0
987.0,3681.0,3.0
381.0,1756.0,3.0
220.0,2407.0,3.0
193.0,1812.0,3.0
735.0,2770.0,3.0
669.0,1560.0,3.0
741.0,3026.0,4.0
754.0,3201.0,3.0
318.0,185.0,4.0
235.0,1579.0,3.0
650.0,3547.0,3.0
179.0,2849.0,3.0
935.0,406.0,4.0
780.0,1833.0,3.0
29.0,2726.0,5.0
361.0,3035.0,3.0
236.0,609.0,4.0
109.0,833.0,3.0
310.0,3806.0,3.0
467.0,1457.0,3.0
877.0,219.0,3.0
339.0,2016.0,3.0
327.0,673.0,3.0
885.0,1906.0,5.0
972.0,1308.0,3.0
478.0,3387.0,4.0
918.0,1772.0,3.0
43.0,2581.0,4.0
340.0,3067.0,4.0
754.0,1709.0,3.0
572.0,3474.0,3.0
872.0,1629.0,4.0
53.0,3656.0,3.0
346.0,481.0,3.0
988.0,1131.0,3.0
232.0,944.0,5.0
702.0,226.0,3.0
534.0,3236.0,5.0
176.0,1756.0,3.0
892.0,435.0,3.0
381.0,595.0,3.0
298.0,647.0,3.0
414.0,2362.0,3.0
464.0,2273.0,3.0
313.0,3961.0,5.0
208.0,340.0,3.0
603.0,3136.0,4.0
608.0,3270.0,3.0
246.0,3643.0,3.0
36.0,70.0,3.0
593.0,2626.0,3.0
497.0,3524.0,3.0
886.0,3044.0,5.0
59.0,3698.0,3.0
553.0,1055.0,4.0
954.0,2760.0,4.0
604.0,2624.0,5.0
884.0,3176.0,3.0
214.0,422.0,4.0
137.0,2140.0,4.0
943.0,680.0,4.0
123.0,661.0,5.0
10.0,1933.0,4.0
234.0,1027.0,3.0
841.0,1809.0,3.0
695.0,3514.0,3.0
995.0,2838.0,5.0
208.0,1340.0,3.0
748.0,1653.0,5.0
