user,item,rating,demographic
248,110,4,0
360,32,4,0
833,50,4,0
1202,169,4,0
389,178,4,0
1385,182,3,0
1383,41,4,0
1127,3,5,0
180,46,5,0
1181,150,5,0
589,16,5,0
719,32,4,0
542,67,5,0
1177,2,4,0
544,21,3,0
656,4,5,0
1206,104,5,0
518,116,4,0
725,141,4,0
1041,34,5,0
1053,102,5,0
831,119,3,0
1240,49,4,0
565,195,5,0
210,153,4,0
859,164,3,0
800,28,5,0
556,57,3,0
159,103,4,0
855,98,5,0
334,144,3,0
1294,61,5,0
1180,121,5,0
860,150,5,0
685,27,4,0
1099,57,5,0
280,76,4,0
1328,8,5,0
818,104,4,0
755,63,4,0
1259,159,5,0
641,145,4,0
411,137,3,0
1032,112,4,0
498,97,4,0
270,183,2,0
1100,169,5,0
1266,192,5,0
151,154,5,0
566,48,5,0
358,28,5,0
304,104,3,0
729,108,3,0
85,140,5,0
1304,112,5,0
476,190,5,0
1197,30,3,0
729,153,4,0
286,168,4,0
673,198,4,0
1096,158,4,0
157,5,4,0
887,158,5,0
833,187,4,0
1357,27,5,0
1107,27,3,0
289,50,5,0
1081,129,3,0
790,9,4,0
846,58,4,0
1167,14,5,0
638,181,3,0
8,125,4,0
93,55,3,0
1147,125,5,0
1349,146,5,0
888,140,4,0
522,46,5,0
474,97,4,0
632,62,4,0
1199,40,3,0
238,181,3,0
1000,30,3,0
842,31,3,0
568,73,5,0
1351,15,4,0
25,1,5,0
862,96,4,0
552,6,4,0
713,55,4,0
988,0,3,0
335,125,3,0
961,81,4,0
402,20,3,0
186,128,4,0
785,134,4,0
557,173,4,0
779,129,5,0
602,49,5,0
973,42,5,0
172,129,4,0
416,103,3,0
321,185,3,0
868,131,5,0
669,100,5,0
89,184,5,0
447,199,3,0
1229,36,5,0
234,155,3,0
980,25,4,0
1273,129,5,0
1156,60,5,0
17,118,4,0
458,106,5,0
860,102,5,0
280,159,5,0
647,157,5,0
1126,184,5,0
740,82,4,0
630,32,3,0
897,186,3,0
598,170,3,0
61,24,3,0
340,131,5,0
1233,148,5,0
429,108,3,0
997,51,3,0
163,32,4,0
952,167,3,0
1102,0,3,0
264,19,3,0
872,52,4,0
1247,152,4,0
1279,40,3,0
467,146,3,0
1230,154,5,0
1071,89,5,0
549,77,4,0
1298,131,5,0
295,121,5,0
539,179,4,0
68,178,4,0
1293,160,4,0
1048,195,5,0
390,93,5,0
1085,25,3,0
1356,136,4,0
725,143,5,0
106,39,5,0
1101,68,5,0
748,64,5,0
1272,86,5,0
1224,91,5,0
1147,16,5,0
1205,116,3,0
1064,192,5,0
1037,110,5,0
218,166,5,0
155,30,3,0
1193,45,3,0
198,43,4,0
1390,22,5,0
206,81,4,0
944,14,3,0
1011,102,5,0
100,181,3,0
371,95,5,0
1309,28,5,0
145,136,4,0
268,34,5,0
907,59,4,0
840,86,4,0
650,173,4,0
981,45,5,0
264,116,2,0
286,154,4,0
1226,141,4,0
1265,183,2,0
957,179,5,0
486,97,4,0
1264,91,5,0
224,84,4,0
1377,67,4,0
1226,2,4,0
1242,56,5,0
1036,8,5,0
143,111,4,0
732,100,5,0
330,164,3,0
80,70,5,0
1278,143,5,0
805,193,4,0
1399,179,4,0
442,66,2,0
1096,140,4,0
491,157,5,0
145,178,4,0
411,193,4,0
72,113,2,0
980,175,4,0
423,167,3,0
317,18,5,0
642,40,3,0
1375,149,3,0
446,191,5,0
1178,0,3,0
668,35,5,0
1152,15,4,0
1220,107,3,0
334,173,3,0
844,81,4,0
1366,160,4,0
548,126,3,0
1106,108,3,0
1075,54,4,0
983,70,4,0
1148,49,4,0
984,107,4,0
682,1,5,0
181,57,3,0
1153,108,3,0
1366,160,5,0
774,5,5,0
603,195,4,0
459,115,3,0
1272,86,4,0
1210,160,5,0
250,77,4,0
1308,1,5,0
952,163,3,0
353,33,4,0
449,147,4,0
228,50,4,0
690,139,5,0
306,148,5,0
813,60,3,0
