user,item,rating,demographic
1235,102,4,0
1630,491,4,0
62,625,4,0
1724,735,3,0
1623,540,3,0
100,399,5,0
1092,198,5,0
384,720,5,0
1738,14,4,0
335,651,5,0
1217,341,3,0
597,118,5,0
1279,136,5,0
819,342,4,0
698,731,3,0
1233,101,5,0
926,203,5,0
305,618,5,0
1141,481,4,0
312,420,4,0
1680,439,5,0
1293,157,5,0
146,353,4,0
761,492,5,0
133,307,5,0
1677,542,4,0
189,502,5,0
1416,766,5,0
1550,530,2,0
58,688,4,0
89,438,5,0
622,660,5,0
1641,267,5,0
866,388,4,0
29,129,4,0
1464,54,4,0
628,78,3,0
175,367,4,0
773,114,5,0
1767,359,5,0
1132,553,5,0
179,542,4,0
512,583,4,0
1723,68,3,0
355,570,4,0
1248,426,3,0
1612,358,5,0
422,786,3,0
868,360,2,0
1503,48,4,0
1325,335,5,0
1551,412,5,0
333,287,4,0
776,164,3,0
599,453,4,0
615,227,5,0
851,30,4,0
1274,288,4,0
1257,696,5,0
317,567,3,0
1623,14,3,0
1004,14,5,0
1411,688,4,0
1530,175,5,0
586,790,4,0
609,0,5,0
689,788,4,0
483,251,5,0
185,711,4,0
1774,104,5,0
522,55,4,0
97,560,5,0
248,644,4,0
713,446,4,0
228,130,5,0
1762,446,4,0
21,371,3,0
1748,345,5,0
1404,692,5,0
177,357,5,0
1025,180,4,0
948,60,5,0
1444,552,4,0
1155,434,3,0
1427,498,4,0
87,549,5,0
557,758,5,0
1786,358,5,0
1302,666,4,0
805,722,5,0
76,733,4,0
875,63,5,0
129,581,4,0
1196,302,4,0
1402,779,4,0
533,584,5,0
1583,344,4,0
526,524,3,0
1277,754,3,0
569,657,3,0
1568,781,5,0
1396,76,5,0
1094,613,5,0
1365,65,5,0
1554,510,5,0
1601,352,4,0
931,547,5,0
18,690,5,0
423,582,4,0
1327,655,5,0
1222,218,5,0
195,540,5,0
1363,296,4,0
1247,359,4,0
1189,439,3,0
1743,784,4,0
366,151,5,0
1205,136,5,0
202,128,4,0
142,650,4,0
14,758,5,0
963,38,5,0
1709,120,3,0
1409,459,5,0
371,62,4,0
596,103,5,0
333,644,4,0
31,225,4,0
1619,668,4,0
1433,655,5,0
1437,698,3,0
368,359,5,0
0,455,3,0
1419,548,5,0
