user,item,rating,demographic
692,352,4,0
821,207,4,0
1079,337,4,0
1512,616,4,0
372,260,4,0
450,12,3,0
263,202,4,0
1674,4,5,0
1687,230,5,0
1103,569,5,0
1889,788,5,0
968,487,4,0
827,300,5,0
308,41,4,0
1716,423,3,0
46,160,5,0
1608,448,5,0
1071,102,4,0
1725,415,3,0
1683,499,4,0
1480,59,5,0
627,9,2,0
437,3,5,0
1121,49,3,0
280,462,4,0
1791,343,5,0
1911,487,4,0
1154,430,3,0
1867,277,5,0
884,729,3,0
171,650,4,0
1878,456,5,0
1022,22,3,0
558,35,5,0
118,300,5,0
2,709,5,0
1275,655,4,0
610,301,5,0
1570,564,4,0
913,686,5,0
1416,225,4,0
420,447,4,0
817,505,5,0
136,175,4,0
1499,209,3,0
1156,789,4,0
1776,748,4,0
1368,161,4,0
2029,633,2,0
807,498,5,0
1510,334,5,0
321,43,1,0
1292,162,5,0
1962,451,5,0
487,317,5,0
652,133,3,0
412,371,5,0
141,14,5,0
1011,198,4,0
55,242,3,0
621,162,5,0
617,627,3,0
1302,330,4,0
1530,680,4,0
1788,268,4,0
1669,89,4,0
1380,502,4,0
16,642,5,0
1081,792,4,0
1504,118,5,0
1604,593,3,0
1384,556,5,0
175,589,3,0
1813,411,4,0
788,301,4,0
1394,559,4,0
1994,660,5,0
1212,761,3,0
1222,537,4,0
1834,252,3,0
1485,82,5,0
2042,38,5,0
315,199,4,0
1206,139,5,0
1194,388,4,0
1775,772,4,0
1421,673,3,0
891,313,3,0
1826,486,4,0
850,622,3,0
595,256,3,0
2093,467,5,0
1934,311,4,0
1447,171,5,0
406,523,4,0
1028,389,4,0
248,119,4,0
75,596,3,0
14,537,3,0
567,320,4,0
1162,434,3,0
894,483,4,0
1514,275,5,0
1949,349,4,0
927,606,4,0
320,411,5,0
1969,695,5,0
1507,504,5,0
1908,703,4,0
1242,626,3,0
1111,794,3,0
335,297,5,0
1524,278,5,0
1229,191,5,0
1341,603,3,0
1520,155,5,0
1502,105,3,0
1921,345,4,0
872,411,5,0
704,106,5,0
832,30,4,0
1646,494,5,0
1282,25,5,0
1510,505,5,0
1966,456,5,0
1597,139,5,0
120,78,4,0
666,207,3,0
1418,86,3,0
1277,703,4,0
1334,687,3,0
1548,582,3,0
1565,98,5,0
1302,776,4,0
3,558,5,0
775,57,3,0
1260,661,3,0
62,414,4,0
459,390,3,0
1265,146,3,0
478,322,3,0
1796,329,4,0
1466,130,4,0
348,673,3,0
442,560,3,0
1487,365,5,0
115,629,5,0
1453,253,4,0
974,98,5,0
359,145,5,0
1287,359,4,0
2,195,4,0
642,403,4,0
845,298,4,0
1079,402,5,0
1461,378,5,0
1761,345,3,0
1654,375,4,0
767,731,5,0
886,254,4,0
1597,789,5,0
1438,395,5,0
375,95,5,0
947,111,5,0
1511,261,5,0
1532,503,5,0
1485,257,5,0
1064,755,3,0
645,334,5,0
1442,691,5,0
301,684,5,0
134,637,3,0
1315,685,3,0
1323,527,4,0
641,294,4,0
1002,782,5,0
949,425,4,0
1172,588,3,0
662,667,5,0
386,770,3,0
441,287,5,0
807,145,5,0
1539,391,4,0
1696,80,4,0
972,305,5,0
1760,711,4,0
701,413,4,0
714,541,4,0
163,687,5,0
478,604,2,0
1530,500,4,0
1596,10,4,0
639,69,2,0
58,706,5,0
241,161,4,0
202,134,5,0
916,259,4,0
655,423,3,0
60,483,4,0
18,454,4,0
1029,481,5,0
1107,765,5,0
113,477,4,0
603,172,5,0
1717,513,3,0
369,705,3,0
512,270,5,0
1805,731,5,0
1339,631,4,0
781,706,4,0
2033,124,2,0
1549,472,4,0
587,154,5,0
1770,547,4,0
582,305,5,0
1782,631,4,0
428,767,2,0
159,471,4,0
945,422,3,0
463,82,4,0
1665,682,5,0
1214,673,3,0
162,114,3,0
1727,736,5,0
1833,433,3,0
496,568,5,0
608,360,4,0
1078,409,3,0
714,434,3,0
1302,791,4,0
1757,256,4,0
353,752,4,0
574,184,3,0
1022,625,3,0
1148,347,4,0
783,303,4,0
806,502,4,0
943,338,4,0
1629,540,4,0
1586,393,5,0
1827,527,3,0
1832,625,3,0
2053,722,5,0
1132,572,4,0
1923,236,5,0
1997,202,4,0
1089,485,3,0
1511,261,4,0
1309,403,5,0
1599,253,4,0
1167,310,5,0
1066,422,3,0
738,799,4,0
964,482,4,0
1273,249,4,0
536,363,5,0
1532,549,5,0
1111,703,3,0
1711,104,3,0
304,187,5,0
667,68,5,0
1646,470,5,0
795,790,2,0
279,400,3,0
1277,527,5,0
1765,23,5,0
1069,496,5,0
417,156,5,0
872,130,4,0
96,402,5,0
732,575,4,0
1192,761,3,0
351,572,3,0
1302,393,4,0
245,209,3,0
934,276,4,0
1097,129,3,0
1294,177,5,0
1362,20,4,0
830,250,5,0
1451,685,5,0
538,336,1,0
1216,456,5,0
1244,136,4,0
627,442,2,0
396,530,2,0
1810,614,4,0
1151,787,4,0
534,551,4,0
1976,339,3,0
255,347,4,0
1245,538,5,0
1334,168,3,0
1095,18,5,0
1586,291,4,0
840,471,4,0
32,616,4,0
1751,334,5,0
1360,614,4,0
1614,125,4,0
1845,604,3,0
1528,208,4,0
1582,406,5,0
1234,522,4,0
1145,154,5,0
1192,487,3,0
1398,215,5,0
873,451,5,0
1039,281,3,0
1316,730,3,0
541,739,4,0
560,660,5,0
727,788,3,0
1976,411,3,0
1499,74,4,0
57,168,3,0
875,10,4,0
1416,16,4,0
1746,101,3,0
257,756,2,0
154,762,4,0
841,299,4,0
2082,414,5,0
872,208,5,0
123,16,4,0
758,729,3,0
179,290,3,0
1947,659,4,0
1325,202,5,0
1371,35,5,0
644,461,5,0
882,488,3,0
1159,419,5,0
1576,707,5,0
1701,318,5,0
1414,580,4,0
1393,405,4,0
1442,445,5,0
1648,137,4,0
2017,323,4,0
520,112,5,0
1319,249,5,0
1367,461,4,0
771,433,3,0
1242,207,4,0
1815,242,3,0
91,273,5,0
1421,367,3,0
69,366,3,0
389,289,3,0
1587,258,4,0
988,528,5,0
712,408,5,0
263,381,5,0
288,162,5,0
2078,474,4,0
986,214,5,0
1508,728,2,0
759,148,3,0
1109,706,5,0
1559,740,4,0
498,174,5,0
1484,280,4,0
148,35,5,0
137,629,5,0
887,622,3,0
511,583,5,0
1845,572,3,0
1321,657,4,0
632,588,3,0
446,421,4,0
1652,773,5,0
1347,766,5,0
54,250,5,0
1575,495,4,0
258,457,4,0
947,648,5,0
1394,473,3,0
489,440,5,0
644,461,4,0
1335,671,5,0
1427,308,3,0
762,299,4,0
1763,249,4,0
1410,361,3,0
1936,729,3,0
658,411,5,0
1584,24,5,0
1295,148,4,0
957,227,1,0
456,508,4,0
1458,432,4,0
493,284,4,0
504,403,5,0
1100,200,5,0
1048,450,4,0
232,448,3,0
474,184,4,0
1615,496,5,0
1604,118,3,0
1493,260,3,0
2024,305,5,0
1958,775,5,0
936,744,5,0
1687,81,5,0
710,416,4,0
427,715,5,0
269,420,5,0
1172,294,4,0
1303,339,5,0
744,610,4,0
1700,664,4,0
181,257,5,0
1082,492,5,0
1655,600,3,0
1706,175,4,0
866,10,4,0
1329,254,5,0
1586,504,5,0
21,488,3,0
759,593,4,0
1507,587,5,0
1452,107,4,0
1250,309,4,0
308,231,4,0
1892,16,4,0
784,18,5,0
1992,276,4,0
103,755,5,0
2077,206,3,0
1870,643,5,0
1782,265,4,0
1790,291,4,0
1318,567,3,0
1698,457,4,0
1619,768,4,0
912,244,4,0
1050,225,5,0
1334,5,2,0
1317,68,4,0
1222,788,4,0
1520,586,5,0
383,579,3,0
2084,238,5,0
1845,664,2,0
501,719,5,0
833,428,5,0
281,347,4,0
2047,242,2,0
1187,706,5,0
115,677,5,0
1835,528,4,0
766,258,4,0
1848,376,4,0
722,795,5,0
1912,48,4,0
2054,700,4,0
1868,660,4,0
1098,611,5,0
683,778,3,0
887,45,3,0
942,789,4,0
1943,149,5,0
551,599,2,0
48,260,4,0
1802,41,3,0
1452,718,4,0
1091,330,3,0
364,126,5,0
1562,230,5,0
1985,118,5,0
1007,525,3,0
1228,9,4,0
461,586,5,0
149,516,4,0
1507,42,4,0
1380,295,4,0
1453,608,4,0
813,727,5,0
265,363,4,0
716,99,4,0
2094,124,3,0
608,311,4,0
958,713,5,0
1152,694,4,0
1185,760,5,0
1685,455,4,0
1448,82,5,0
1485,191,5,0
822,603,4,0
548,707,5,0
1878,260,4,0
1539,163,4,0
124,643,5,0
1133,120,5,0
1640,633,2,0
558,699,5,0
2030,683,4,0
1816,483,4,0
808,220,5,0
1299,66,4,0
257,527,3,0
752,315,4,0
186,670,4,0
1331,274,3,0
1037,648,5,0
29,139,4,0
1100,521,5,0
763,495,4,0
204,150,4,0
1382,667,4,0
714,541,3,0
1708,693,5,0
242,21,5,0
1755,493,5,0
418,349,4,0
1925,118,5,0
161,180,3,0
1611,98,5,0
1474,757,5,0
2029,361,2,0
315,34,4,0
1791,621,4,0
1323,316,3,0
713,693,2,0
1462,487,4,0
795,763,3,0
1686,249,5,0
464,197,3,0
1385,417,2,0
1259,114,4,0
2043,614,4,0
2086,135,5,0
1912,375,4,0
2054,108,5,0
373,359,4,0
512,39,5,0
662,222,5,0
787,689,4,0
463,782,4,0
1749,195,5,0
662,437,5,0
31,62,4,0
339,212,5,0
1023,692,5,0
1036,314,4,0
1750,703,4,0
357,559,4,0
500,178,4,0
2083,220,5,0
251,40,3,0
1746,567,3,0
1956,593,5,0
2037,366,2,0
1528,794,5,0
189,425,4,0
921,394,4,0
750,695,5,0
1138,29,3,0
1819,115,4,0
1022,791,3,0
1997,174,5,0
934,276,5,0
1549,608,3,0
862,480,2,0
712,74,5,0
1518,60,5,0
164,798,4,0
1740,51,5,0
1547,460,5,0
1468,429,4,0
1252,116,5,0
2081,548,4,0
1355,286,4,0
523,153,4,0
1776,346,4,0
1105,787,4,0
92,46,5,0
789,669,3,0
1494,160,5,0
1483,49,4,0
1464,423,4,0
970,754,5,0
771,600,3,0
1832,791,3,0
1338,684,4,0
1317,353,4,0
232,416,3,0
1337,45,4,0
32,157,4,0
843,290,3,0
1656,520,5,0
1251,5,4,0
798,671,4,0
1233,387,5,0
1935,76,4,0
393,215,4,0
1592,407,5,0
1041,300,5,0
1077,757,5,0
164,742,3,0
267,62,3,0
1609,216,4,0
1872,464,5,0
565,394,2,0
2030,313,3,0
1831,201,5,0
1115,612,5,0
318,90,5,0
2069,180,3,0
80,782,3,0
1781,16,4,0
1258,362,4,0
93,460,5,0
1030,177,5,0
1963,727,5,0
771,582,3,0
2095,87,5,0
1673,230,5,0
1755,224,5,0
27,687,4,0
1382,381,4,0
614,32,5,0
84,219,5,0
1444,479,3,0
1319,667,5,0
1960,793,5,0
851,770,3,0
2088,336,2,0
1253,554,5,0
1398,580,5,0
1142,535,4,0
933,190,4,0
519,257,5,0
307,207,4,0
2019,11,5,0
1854,331,5,0
2090,475,4,0
772,533,5,0
1710,124,3,0
227,26,3,0
1211,625,3,0
1442,611,5,0
