user,item,rating,demographic
674,424,5,0
288,420,1,0
280,20,5,0
339,432,2,0
538,690,2,0
45,630,5,0
424,29,5,0
594,689,5,0
42,262,3,0
634,272,5,0
590,142,1,0
295,432,4,0
371,694,3,0
671,298,3,0
117,418,5,0
396,421,5,0
665,652,1,0
511,75,5,0
349,1,4,0
473,780,3,0
658,2,5,0
213,488,4,0
492,576,5,0
219,445,3,0
133,587,1,0
430,439,4,0
536,725,1,0
558,156,1,0
95,264,3,0
226,192,5,0
555,54,1,0
177,233,5,0
659,6,5,0
95,182,1,0
684,546,3,0
602,97,5,0
211,523,5,0
756,738,1,0
629,553,5,0
641,731,5,0
531,152,3,0
326,87,5,0
110,599,3,0
52,390,1,0
303,519,5,0
214,11,1,0
382,463,5,0
12,326,1,0
336,63,3,0
45,643,5,0
66,330,5,0
22,156,2,0
393,771,5,0
202,289,4,0
568,380,5,0
663,442,1,0
408,219,5,0
44,634,4,0
752,320,1,0
119,80,5,0
558,583,1,0
154,661,5,0
60,391,1,0
295,655,5,0
414,157,1,0
59,757,5,0
314,255,4,0
148,222,5,0
163,344,5,0
632,474,5,0
480,486,5,0
176,460,1,0
214,495,3,0
81,431,1,0
610,540,5,0
224,130,5,0
640,6,5,0
624,603,5,0
523,169,2,0
710,157,1,0
484,492,5,0
414,47,5,0
407,630,5,0
461,267,5,0
285,147,5,0
213,694,4,0
370,298,5,0
388,419,3,0
189,98,5,0
462,785,5,0
344,260,5,0
645,16,5,0
298,474,5,0
320,306,5,0
70,97,5,0
306,179,3,0
218,373,5,0
70,297,5,0
84,148,5,0
73,115,5,0
227,775,1,0
301,538,5,0
287,372,5,0
467,703,1,0
642,397,5,0
367,409,1,0
549,400,5,0
80,284,5,0
32,748,1,0
367,748,1,0
720,284,5,0
34,205,2,0
773,577,1,0
511,284,5,0
435,554,5,0
186,0,5,0
458,243,1,0
706,43,2,0
728,343,2,0
367,129,2,0
46,764,3,0
596,722,1,0
235,335,3,0
455,627,5,0
235,22,2,0
456,434,1,0
154,575,5,0
271,681,5,0
168,251,5,0
606,559,5,0
235,229,5,0
210,149,1,0
585,754,5,0
18,252,5,0
503,36,2,0
463,70,2,0
755,672,5,0
740,359,5,0
124,572,5,0
446,663,5,0
449,552,5,0
752,343,4,0
587,622,5,0
172,177,4,0
551,59,2,0
776,222,5,0
126,72,5,0
119,282,5,0
119,483,5,0
53,526,5,0
489,385,3,0
65,471,5,0
455,225,5,0
48,680,5,0
691,186,2,0
647,233,5,0
249,383,1,0
231,421,5,0
765,690,4,0
374,483,5,0
68,66,2,0
784,717,5,0
437,63,4,0
542,648,4,0
747,395,2,0
351,383,1,0
163,290,5,0
607,680,5,0
683,190,2,0
26,261,5,0
48,359,5,0
424,380,5,0
48,427,5,0
276,745,5,0
410,508,1,0
600,751,5,0
382,126,5,0
578,703,1,0
301,601,5,0
142,140,5,0
641,337,2,0
55,552,5,0
224,398,5,0
575,394,4,0
653,586,5,0
339,584,4,0
497,703,1,0
390,717,4,0
23,215,5,0
396,769,5,0
288,243,1,0
736,106,1,0
775,40,3,0
222,548,5,0
301,223,5,0
491,335,3,0
91,698,1,0
787,642,1,0
129,394,4,0
56,534,5,0
714,144,5,0
210,595,1,0
461,377,5,0
305,318,5,0
453,161,5,0
225,249,5,0
190,213,5,0
32,764,2,0
582,689,1,0
523,268,2,0
743,5,1,0
364,63,5,0
248,368,1,0
2,208,5,0
170,764,1,0
138,499,5,0
383,593,1,0
68,95,2,0
753,698,2,0
742,243,1,0
313,387,4,0
21,327,5,0
100,196,1,0
226,26,5,0
787,739,5,0
131,748,1,0
154,677,4,0
61,490,5,0
769,316,1,0
306,236,5,0
49,145,3,0
470,16,5,0
494,43,4,0
755,174,5,0
797,117,5,0
435,799,5,0
60,634,1,0
742,473,1,0
533,106,1,0
570,365,5,0
472,787,5,0
311,123,5,0
713,316,5,0
20,517,4,0
349,299,5,0
356,335,4,0
271,320,3,0
470,555,5,0
606,542,3,0
561,190,2,0
116,280,1,0
644,724,1,0
110,226,4,0
497,187,4,0
73,490,5,0
583,708,5,0
383,703,1,0
692,114,3,0
55,536,5,0
492,662,5,0
758,305,4,0
180,544,1,0
412,382,2,0
561,497,1,0
442,307,4,0
18,260,5,0
456,5,1,0
444,783,1,0
645,338,5,0
728,480,1,0
354,675,1,0
184,460,2,0
97,749,5,0
758,380,5,0
226,619,5,0
418,471,5,0
31,164,5,0
199,126,1,0
108,109,5,0
387,601,5,0
115,374,5,0
236,179,3,0
738,418,5,0
177,86,5,0
317,708,4,0
784,133,1,0
283,721,3,0
310,382,5,0
724,26,5,0
405,358,5,0
112,264,5,0
161,249,5,0
114,546,3,0
364,229,5,0
186,520,5,0
303,262,3,0
201,21,2,0
78,342,5,0
692,748,1,0
393,452,4,0
103,207,5,0
446,336,5,0
81,462,1,0
342,397,5,0
163,355,5,0
323,336,2,0
575,642,3,0
295,608,1,0
248,156,1,0
470,663,5,0
69,490,5,0
541,148,3,0
476,597,5,0
616,89,5,0
454,420,1,0
531,310,5,0
720,692,4,0
158,304,5,0
384,449,1,0
367,469,1,0
204,432,1,0
481,233,5,0
209,677,3,0
579,357,4,0
726,328,2,0
710,311,1,0
497,362,3,0
473,47,5,0
286,595,1,0
494,549,4,0
409,368,2,0
164,28,1,0
110,226,5,0
554,164,5,0
601,226,4,0
135,21,1,0
224,797,5,0
106,758,5,0
612,260,5,0
148,284,5,0
329,381,5,0
332,539,2,0
187,655,5,0
146,589,4,0
133,374,1,0
184,781,1,0
559,423,5,0
758,564,3,0
601,30,4,0
572,373,3,0
414,98,5,0
758,777,3,0
180,96,1,0
694,380,5,0
540,479,5,0
568,86,5,0
579,357,5,0
136,61,1,0
125,719,5,0
676,363,2,0
314,297,5,0
512,205,3,0
579,648,4,0
235,525,2,0
684,177,4,0
742,467,1,0
390,298,4,0
407,276,5,0
58,425,2,0
676,575,4,0
445,682,1,0
193,616,5,0
738,630,5,0
65,430,5,0
651,275,3,0
606,658,3,0
601,797,4,0
242,523,5,0
779,758,5,0
793,162,5,0
682,617,1,0
539,560,5,0
305,512,5,0
377,610,4,0
510,11,1,0
299,710,5,0
339,525,1,0
438,754,5,0
442,115,5,0
607,500,5,0
655,374,5,0
747,350,5,0
750,585,2,0
2,779,5,0
697,236,4,0
437,634,5,0
386,698,2,0
233,54,2,0
221,430,5,0
27,57,1,0
155,671,5,0
538,570,2,0
405,562,5,0
324,137,4,0
568,586,5,0
18,141,5,0
213,391,4,0
735,355,5,0
175,198,2,0
303,679,5,0
712,735,1,0
462,774,5,0
512,66,1,0
607,427,5,0
503,778,4,0
759,38,3,0
387,271,5,0
690,30,4,0
382,386,5,0
549,612,5,0
379,62,5,0
131,129,1,0
748,115,5,0
187,233,5,0
725,522,4,0
224,374,5,0
725,725,3,0
69,500,5,0
230,535,2,0
211,795,5,0
715,9,5,0
575,320,3,0
320,306,4,0
364,738,4,0
686,764,1,0
446,251,5,0
575,435,5,0
164,335,2,0
456,465,1,0
773,442,1,0
350,46,1,0
639,271,5,0
541,518,5,0
660,569,5,0
321,211,5,0
69,635,5,0
632,154,5,0
214,188,1,0
449,127,5,0
715,486,5,0
290,331,1,0
100,442,1,0
489,748,1,0
606,758,5,0
219,649,2,0
588,401,4,0
606,187,4,0
527,67,3,0
702,355,5,0
85,89,1,0
343,759,1,0
369,693,2,0
367,187,3,0
561,497,2,0
676,677,5,0
286,649,1,0
385,184,5,0
700,89,5,0
489,543,1,0
779,598,5,0
267,543,1,0
697,331,3,0
270,586,5,0
731,110,5,0
614,647,5,0
496,556,1,0
597,293,5,0
289,212,5,0
432,311,1,0
437,395,2,0
528,287,3,0
235,391,3,0
114,166,5,0
504,251,5,0
145,366,5,0
716,635,5,0
159,596,1,0
686,341,1,0
